app_pk,to_char,max
72622,2020-04,710
72622,2020-05,1913
72667,2020-03,119
72667,2020-04,248
72667,2020-05,255
72669,2020-03,87
72669,2020-04,194
72669,2020-05,199
72671,2020-03,6
72671,2020-04,1329
72671,2020-05,1326
72675,2020-03,143
72675,2020-04,228
72675,2020-05,226
72682,2020-03,69
72682,2020-04,145
72682,2020-05,144
72691,2020-03,1
72691,2020-04,6
72691,2020-05,187
72707,2020-03,106
72707,2020-04,277
72707,2020-05,292
72719,2020-03,58
72719,2020-04,109
72719,2020-05,125
72788,2020-03,238
72788,2020-04,292
72788,2020-05,2349
72799,2020-03,95
72799,2020-04,496
72799,2020-05,496
72810,2020-03,487
72810,2020-04,487
72810,2020-05,3
72814,2020-03,60
72814,2020-04,142
72814,2020-05,86
72859,2020-03,185
72859,2020-04,924
72859,2020-05,1074
72877,2020-03,2
72877,2020-04,144
72877,2020-05,224
72903,2020-04,261
72903,2020-05,1527
72904,2020-04,534
72904,2020-05,1593
72924,2020-03,7
72924,2020-04,2750
72924,2020-05,2746
72948,2020-03,1323
72948,2020-04,3547
72948,2020-05,2735
73052,2020-03,14
73052,2020-04,115
73052,2020-05,104
73053,2020-04,127
73053,2020-05,250
73115,2020-04,114
73115,2020-05,199
73378,2020-03,7414
73378,2020-04,45465
73378,2020-05,76584
73392,2020-03,16
73392,2020-04,73
73392,2020-05,106
27539,2019-10,2962
27539,2019-11,479940
27539,2019-12,477051
27539,2020-01,261865
27539,2020-02,253221
27539,2020-03,293057
27539,2020-04,306577
27539,2020-05,306607
31264,2019-10,152
70341,2020-03,33109
70341,2020-04,57748
70341,2020-05,54821
31264,2019-10,143
31264,2019-11,143
61795,2019-10,93645
61795,2019-11,136443
61795,2019-12,228381
61795,2020-01,248584
61795,2020-02,253037
61795,2020-03,252563
61795,2020-04,239545
61795,2020-05,222350
64778,2019-11,1060
64778,2019-12,1558
64778,2020-01,499
64778,2020-02,1
44430,2020-03,2923
44430,2020-04,41468
44430,2020-05,52568
62233,2020-04,6542
62233,2020-05,11864
72986,2020-04,338
72986,2020-05,613
73549,2020-03,3
73549,2020-04,116
73549,2020-05,1266
73595,2020-04,123
73595,2020-05,214
73634,2020-03,5999
73634,2020-04,5999
73634,2020-05,12
73639,2020-03,3
73639,2020-04,607
73639,2020-05,5488
73722,2020-05,121
73840,2020-04,5427
73840,2020-05,5427
73846,2020-04,86
73846,2020-05,170
73921,2020-04,184
73921,2020-05,188
73922,2020-04,241734
73922,2020-05,419552
73939,2020-04,2101
73939,2020-05,2135
74025,2020-04,324
74025,2020-05,324
74028,2020-04,4986
74028,2020-05,6166
74035,2020-04,86
74035,2020-05,152
74081,2020-04,6379
74081,2020-05,6379
74611,2020-04,7729
74611,2020-05,7729
74718,2020-04,574
74718,2020-05,574
74725,2020-04,1951
74725,2020-05,2653
74758,2020-04,45
74758,2020-05,225
74875,2020-05,784
74877,2020-04,484
74877,2020-05,484
74939,2020-04,49
74939,2020-05,1272
75146,2020-04,881
75146,2020-05,2240
47574,2020-05,720
73264,2020-04,19690
73264,2020-05,29338
75052,2020-04,179
75052,2020-05,179
75235,2020-04,1857
75235,2020-05,1859
75406,2020-04,540
75406,2020-05,540
75696,2020-04,5669
75696,2020-05,120353
75715,2020-04,134
75715,2020-05,434
75718,2020-04,176
75718,2020-05,185
75796,2020-04,74
75796,2020-05,106
75826,2020-04,12
75826,2020-05,21662
75841,2020-04,503
75841,2020-05,979
75880,2020-04,635
75880,2020-05,635
75962,2020-04,6900
75962,2020-05,6995
76020,2020-04,111
76020,2020-05,30808
76064,2020-05,435
76351,2020-04,1060
76351,2020-05,2449
76405,2020-04,141
76405,2020-05,166
76423,2020-04,1824
76423,2020-05,1824
76453,2020-04,611
76453,2020-05,1291
76465,2020-04,1221
76465,2020-05,2145
76515,2020-04,449
76515,2020-05,522
76590,2020-04,66
76590,2020-05,261
76633,2020-04,296
76633,2020-05,2919
76697,2020-04,149
76697,2020-05,218
76717,2020-04,60
76717,2020-05,115
76723,2020-04,333
76723,2020-05,849
47574,2020-05,193
54669,2020-05,1180
73374,2020-05,237
74877,2020-04,178
74877,2020-05,209
76423,2020-04,803
76423,2020-05,670
76718,2020-04,127
76718,2020-05,1258
76746,2020-04,565
76746,2020-05,565
76995,2020-04,1743
76995,2020-05,4494
76996,2020-04,7038
76996,2020-05,14858
77040,2020-04,295
77040,2020-05,1163
77064,2020-04,10
77064,2020-05,185
77127,2020-04,141
77127,2020-05,159
77322,2020-04,82
77322,2020-05,133
77352,2020-04,228
77352,2020-05,228
77387,2020-04,3292
77387,2020-05,54848
77738,2020-04,2
77738,2020-05,219
77961,2020-05,387
78196,2020-05,662
78346,2020-05,1803
78358,2020-05,428
78437,2020-05,397
78516,2020-05,139
78541,2020-05,353
78564,2020-05,208
78641,2020-05,512
78702,2020-05,324
79029,2020-05,242
79030,2020-05,157
79334,2020-05,105
79752,2020-05,128
79796,2020-05,106
80034,2020-05,823
80268,2020-05,126
80444,2020-05,754
80770,2020-05,124
